audit_case_id,top_residual_box_useful_after_unblind,axis_labels_plausible_after_unblind,canvas_confound,reviewer,unblind_notes
AI105,false,true,true,codex_researcher_b,"The cyan enclosure covers almost the entire reference body rather than isolating the malformed formulas. The low content, layout, and typography scores are directionally consistent with the raw-command failure."
AI106,false,true,true,codex_researcher_b,"The residual enclosure is page-wide and does not isolate the substituted markers or narrower prose block. The score pattern reasonably reflects moderate content change and strong layout displacement."
AI107,false,true,true,codex_researcher_b,"The top box is dominated by whole-page registration difference and misses the later-page table rescaling as a discrete target. High content with very low layout and typography is plausible for preserved but severely miniaturized tables."
AI108,true,true,true,codex_researcher_b,"The box encloses the algorithm region where indentation and math commands collapse into prose. The low structural, layout, and typography fidelity is visually supported."
AI109,false,true,true,codex_researcher_b,"The box covers the complete reference text block rather than a localized defect. The high content score and poor layout score agree with intact prose that is substantially shifted and compressed."
AI110,false,true,true,codex_researcher_b,"The cyan box is effectively a whole-page content frame, so it does not identify which equations failed. The low content and formatting axes are consistent with flattened and malformed mathematics."
AI111,true,true,true,codex_researcher_b,"The residual box selects a later-page table region whose candidate counterpart is drastically smaller. The axes correctly separate retained table text from severe layout and typography loss."
AI112,true,true,true,codex_researcher_b,"The box identifies the large reference table area that becomes a narrow miniature in the candidate. Content remains relatively high while layout and typography collapse, which is visually credible."
AI113,true,true,true,codex_researcher_b,"The cyan box isolates the algorithm block that was recast as a boxed figure with altered hierarchy. The raw axes are directionally compatible with moderate content and major structural-layout change."
AI114,false,false,true,codex_researcher_b,"The box follows nearly the entire reference page and adds no useful localization. The formulas are visually faithful with only mild compaction, so content 0.570 and layout 0.000 are implausibly punitive."
AI115,false,false,true,codex_researcher_b,"The cyan enclosure is a page-scale registration artifact rather than a defect locator. The output preserves all formulas, making the very low content and layout scores inconsistent with the visible mild shift."
AI116,true,true,true,codex_researcher_b,"The residual points to the candidate-only second page created by reflow, directly explaining the pagination failure. The zero pagination score and low layout score are supported by the one-to-two-page split."
AI117,false,true,true,codex_researcher_b,"The enclosure spans the main page and does not distinguish the raw equation, reference-list substitution, or exposed label. The low content, layout, typography, and structure pattern matches the visible failures."
AI118,false,true,true,codex_researcher_b,"The box is too broad to localize any one formula failure, although the entire page is affected. Extremely low content and formatting axes are appropriate for clipped raw TeX replacing every display."
AI119,false,false,true,codex_researcher_b,"The box encloses the whole list block even though no discrete defect exists. All items and ordering are retained, so near-zero layout and low typography scores exaggerate a mild scale and position change."
AI120,false,true,false,codex_researcher_b,"With registration available, the cyan box still spans almost the full letter and does not isolate the missing date or moved address fields. High content with poorer layout and appearance is a plausible decomposition of the visible change."
AI121,false,false,true,codex_researcher_b,"The box is a broad frame around the reference figure page rather than a localized residual. The placeholder, caption, and inline math are preserved, so layout 0.000 and very low typography overstate the mild reflow."
AI122,false,false,true,codex_researcher_b,"The enclosure tracks the whole reference text block and does not identify a specific error. Near-perfect content is plausible, but zero layout and very low typography are too harsh for modest scaling and vertical shift."
AI123,false,true,true,codex_researcher_b,"The top box is on page 1 while the visually important collisions occur at the bottoms of pages 2 and 3, so it is not useful. Low layout and typography with partial pagination fidelity match those later-page defects."
AI124,false,true,true,codex_researcher_b,"The box covers essentially all page content rather than locating a particular conversion error. The uniformly poor raw axes are justified because every mathematical expression is exposed as source-like text."
AI125,false,false,true,codex_researcher_b,"The residual enclosure is page-wide and does not target the duplicated closing reference phrase. Very low layout and typography scores are not credible for an otherwise faithful figure row with a local text duplication."
AI126,false,false,true,codex_researcher_b,"The box does not isolate the duplicated Section and Equation labels; it follows the full reference content area. The raw formatting penalties are excessive relative to the two localized cross-reference errors."
AI127,false,false,true,codex_researcher_b,"The cyan frame surrounds the complete list rather than a visible defect. Item content and order are preserved, so zero layout and low typography do not match the merely modest reflow."
AI128,false,true,true,codex_researcher_b,"The selected residual is on page 1, whereas the meaningful grid-density and bottom-collision defects are on pages 2 and 3. The poor layout and typography axes are nevertheless directionally consistent with those failures."
AI129,false,false,true,codex_researcher_b,"The box is a whole-page registration residual and no local formula error is visible. All five displays are intact, making content 0.701 and layout 0.000 much harsher than the mild compaction warrants."
AI130,false,false,true,codex_researcher_b,"The cyan enclosure does not isolate the altered alignment and page-2 centering; it mostly traces a broad page region. The formulas remain readable and complete, so the content and layout penalties overstate the observed reflow."
AI131,false,false,true,codex_researcher_b,"The top box surrounds the overall figure region rather than the raw protect text and duplicated caption reference. The very low layout and appearance values are disproportionate to those small local artifacts."
AI132,true,false,true,codex_researcher_b,"The residual encloses the table absent from candidate page 1, so it usefully exposes the table-to-new-page pagination shift despite its large extent. Content is largely preserved, making content 0.636 too low even though layout and pagination correctly fail."
AI133,false,false,true,codex_researcher_b,"The box is page-scale and does not identify any discrete formula error. All expressions are preserved, so the low content, layout, and typography axes are inconsistent with the visible mild compaction."
AI134,true,true,true,codex_researcher_b,"The residual identifies the candidate-only third page produced by table overflow. The poor layout, typography, structure, and pagination axes agree with the extra page and severe page-2 collision."
AI135,true,true,true,codex_researcher_b,"The box isolates the algorithm body where nesting and step hierarchy collapse into centered prose. Low layout and structure fidelity is objectively supported by that loss."
AI136,false,true,true,codex_researcher_b,"The cyan box spans the general text region and does not target the changed citations or duplicated cross-reference words. High content with weaker structure and typography is directionally plausible for the localized semantic-label substitutions."
AI137,true,true,true,codex_researcher_b,"The residual highlights the orphaned second-page bibliography tail created by over-compression. The pagination and layout penalties correspond directly to the changed page break."
AI138,false,false,true,codex_researcher_b,"The enclosure follows the whole reference prose block rather than a specific problem. Content is correctly near perfect, but zero layout and low typography over-penalize a faithful document with modest compact reflow."
AI139,true,true,true,codex_researcher_b,"The residual identifies the missing second reference page after the two-page algorithm was squeezed into one. Low pagination, layout, and structure fidelity matches the lost page and hierarchy."
AI140,true,true,true,codex_researcher_b,"The box identifies a full structured table page whose candidate version is flattened into delimiter-separated text. Poor content, layout, typography, structure, and pagination scores are all visibly justified."
AI141,false,true,true,codex_researcher_b,"The enclosure is too broad to distinguish individual equation failures, though failure is page-wide. The very low content and formatting axes accurately reflect aligned mathematics becoming raw command text."
AI142,false,true,false,codex_researcher_b,"Even without a canvas-sequence confound, the selected top box is on page 1 while the severe overlaps are at the bottoms of pages 2 and 3. The low layout, typography, and structure axes are visually supported by those collisions."
AI143,false,true,true,codex_researcher_b,"The top residual is not on the lower-page rows and captions where the important collisions occur. The axes reasonably report retained content with major layout and structural degradation."
AI144,false,false,true,codex_researcher_b,"The cyan frame is a broad list-area residual rather than a defect locator. Both numbered lists and their order are intact, so zero layout and low typography are implausibly severe for modest compaction."
AI145,false,true,true,codex_researcher_b,"The box does not isolate the changed citation labels and mixed bibliography keys. The high content score with a weaker structural signal is consistent with localized identifier substitutions."
AI146,true,true,true,codex_researcher_b,"The residual identifies the missing third reference page after three table pages collapse to two pages of raw values. The poor scores on every affected axis are visually warranted."
AI147,false,false,true,codex_researcher_b,"The box surrounds nearly all formulas and no discrete defect is present. Content 0.638 and layout 0.000 are inconsistent with five correctly rendered expressions and only mild reflow."
AI148,false,true,true,codex_researcher_b,"The residual is page-wide and does not target the renumbered citations or duplicated cross-reference words. The content score remains high while structure and typography weaken, which is directionally credible."
AI149,true,false,true,codex_researcher_b,"The cyan box selects the first table region whose scale, borders, and cell typography differ substantially, so it is useful. Content is visibly intact, making content 0.586 too low even though the layout and typography penalties are justified."
AI150,false,false,true,codex_researcher_b,"The box covers the full paper page instead of isolating where placeholder prose was replaced by formulas. The high content score understates a major visible reference mismatch, while the layout score is confounded by broad reflow."
AI151,false,true,true,codex_researcher_b,"The selected top residual lies on page 1 and misses the bottom-row and caption collisions on pages 2 and 3. The low layout and typography axes nevertheless agree with those repeated table failures."
AI152,true,true,true,codex_researcher_b,"The residual identifies the missing third reference page after consolidation to two pages. Pagination and layout scores correctly reflect the removed page and substantial table rescaling."
AI153,false,true,true,codex_researcher_b,"The top box is on page 1 rather than the overlapping lower table rows on pages 2 and 3, so it is not useful. The axis pattern correctly indicates major layout and structural damage with partial content retention."
AI154,true,true,true,codex_researcher_b,"The residual identifies the eliminated second reference page while the remaining page contains flattened formulas and a crude grid. Very low scores across content, layout, typography, structure, and pagination are justified."
AI155,true,true,true,codex_researcher_b,"The box identifies the missing third table page after the candidate reduces three structured pages to two flattened text pages. The low axis scores match the combined structural, legibility, and pagination failures."
AI156,true,true,true,codex_researcher_b,"The residual identifies the missing second reference page after all material is forced onto one page. Low content, layout, typography, structure, and pagination scores are visually supported by the flattened formulas and page loss."
