audit_index,sample_id,category,family,variant,severity,expected_axis,candidate_pdf,target_box_correct,mutation_visible,candidate_valid,label_correct,predicted_box_useful,review_notes
1,01_prose_sections_002,01_prose_sections,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__lossless_roundtrip__s0.pdf,,,,,,
2,01_prose_sections_002,01_prose_sections,canvas_translation,translate_right,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__translate_right__s1.pdf,,,,,,
3,01_prose_sections_002,01_prose_sections,canvas_translation,translate_right,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__translate_right__s2.pdf,,,,,,
4,01_prose_sections_002,01_prose_sections,canvas_translation,translate_right,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__translate_right__s3.pdf,,,,,,
5,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_down,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__block_down__s1.pdf,,,,,,
6,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_down,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__block_down__s2.pdf,,,,,,
7,01_prose_sections_002,01_prose_sections,largest_block_displacement,block_down,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__block_down__s3.pdf,,,,,,
8,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__text_deletion__s1.pdf,,,,,,
9,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__text_deletion__s2.pdf,,,,,,
10,01_prose_sections_002,01_prose_sections,text_span_deletion,text_deletion,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__text_deletion__s3.pdf,,,,,,
11,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,lexical_corruption,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__lexical_corruption__s1.pdf,,,,,,
12,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,lexical_corruption,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__lexical_corruption__s2.pdf,,,,,,
13,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,lexical_corruption,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__lexical_corruption__s3.pdf,,,,,,
14,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,numeric_corruption,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__numeric_corruption__s1.pdf,,,,,,
15,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,numeric_corruption,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__numeric_corruption__s2.pdf,,,,,,
16,01_prose_sections_002,01_prose_sections,lexical_numeric_substitution,numeric_corruption,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__numeric_corruption__s3.pdf,,,,,,
17,01_prose_sections_002,01_prose_sections,edge_crop_local_occlusion,crop_bottom,1,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__crop_bottom__s1.pdf,,,,,,
18,01_prose_sections_002,01_prose_sections,edge_crop_local_occlusion,crop_bottom,2,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__crop_bottom__s2.pdf,,,,,,
19,01_prose_sections_002,01_prose_sections,edge_crop_local_occlusion,crop_bottom,3,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__crop_bottom__s3.pdf,,,,,,
20,01_prose_sections_002,01_prose_sections,fixed_compound_defects,compound_delete_translate,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__compound_delete_translate__s2.pdf,,,,,,
21,01_prose_sections_002,01_prose_sections,fixed_compound_defects,compound_lexical_block,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__compound_lexical_block__s2.pdf,,,,,,
22,01_prose_sections_002,01_prose_sections,fixed_compound_defects,compound_numeric_crop,2,content+appearance,results/metric_research_v1/pilot_11_locality_v3/audit/01_prose_sections_002__compound_numeric_crop__s2.pdf,,,,,,
23,02_lists_formatting_003,02_lists_formatting,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__lossless_roundtrip__s0.pdf,,,,,,
24,02_lists_formatting_003,02_lists_formatting,canvas_translation,translate_right,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__translate_right__s1.pdf,,,,,,
25,02_lists_formatting_003,02_lists_formatting,canvas_translation,translate_right,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__translate_right__s2.pdf,,,,,,
26,02_lists_formatting_003,02_lists_formatting,canvas_translation,translate_right,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__translate_right__s3.pdf,,,,,,
27,02_lists_formatting_003,02_lists_formatting,largest_block_displacement,block_down,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__block_down__s1.pdf,,,,,,
28,02_lists_formatting_003,02_lists_formatting,largest_block_displacement,block_down,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__block_down__s2.pdf,,,,,,
29,02_lists_formatting_003,02_lists_formatting,largest_block_displacement,block_down,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__block_down__s3.pdf,,,,,,
30,02_lists_formatting_003,02_lists_formatting,text_span_deletion,text_deletion,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__text_deletion__s1.pdf,,,,,,
31,02_lists_formatting_003,02_lists_formatting,text_span_deletion,text_deletion,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__text_deletion__s2.pdf,,,,,,
32,02_lists_formatting_003,02_lists_formatting,text_span_deletion,text_deletion,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__text_deletion__s3.pdf,,,,,,
33,02_lists_formatting_003,02_lists_formatting,lexical_numeric_substitution,lexical_corruption,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__lexical_corruption__s1.pdf,,,,,,
34,02_lists_formatting_003,02_lists_formatting,lexical_numeric_substitution,lexical_corruption,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__lexical_corruption__s2.pdf,,,,,,
35,02_lists_formatting_003,02_lists_formatting,lexical_numeric_substitution,lexical_corruption,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__lexical_corruption__s3.pdf,,,,,,
36,02_lists_formatting_003,02_lists_formatting,lexical_numeric_substitution,numeric_corruption,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__numeric_corruption__s1.pdf,,,,,,
37,02_lists_formatting_003,02_lists_formatting,lexical_numeric_substitution,numeric_corruption,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__numeric_corruption__s2.pdf,,,,,,
38,02_lists_formatting_003,02_lists_formatting,lexical_numeric_substitution,numeric_corruption,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__numeric_corruption__s3.pdf,,,,,,
39,02_lists_formatting_003,02_lists_formatting,edge_crop_local_occlusion,crop_bottom,1,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__crop_bottom__s1.pdf,,,,,,
40,02_lists_formatting_003,02_lists_formatting,edge_crop_local_occlusion,crop_bottom,2,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__crop_bottom__s2.pdf,,,,,,
41,02_lists_formatting_003,02_lists_formatting,edge_crop_local_occlusion,crop_bottom,3,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__crop_bottom__s3.pdf,,,,,,
42,02_lists_formatting_003,02_lists_formatting,fixed_compound_defects,compound_delete_translate,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__compound_delete_translate__s2.pdf,,,,,,
43,02_lists_formatting_003,02_lists_formatting,fixed_compound_defects,compound_lexical_block,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__compound_lexical_block__s2.pdf,,,,,,
44,02_lists_formatting_003,02_lists_formatting,fixed_compound_defects,compound_numeric_crop,2,content+appearance,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__compound_numeric_crop__s2.pdf,,,,,,
45,02_lists_formatting_003,02_lists_formatting,inline_math_structure,inline_math_corrupt,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__inline_math_corrupt__s1.pdf,,,,,,
46,02_lists_formatting_003,02_lists_formatting,inline_math_structure,inline_math_corrupt,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__inline_math_corrupt__s2.pdf,,,,,,
47,02_lists_formatting_003,02_lists_formatting,inline_math_structure,inline_math_corrupt,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__inline_math_corrupt__s3.pdf,,,,,,
48,02_lists_formatting_003,02_lists_formatting,inline_math_structure,inline_math_resize,1,typography,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__inline_math_resize__s1.pdf,,,,,,
49,02_lists_formatting_003,02_lists_formatting,inline_math_structure,inline_math_resize,2,typography,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__inline_math_resize__s2.pdf,,,,,,
50,02_lists_formatting_003,02_lists_formatting,inline_math_structure,inline_math_resize,3,typography,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__inline_math_resize__s3.pdf,,,,,,
51,02_lists_formatting_003,02_lists_formatting,list_structure,list_marker_deletion,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__list_marker_deletion__s1.pdf,,,,,,
52,02_lists_formatting_003,02_lists_formatting,list_structure,list_marker_deletion,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__list_marker_deletion__s2.pdf,,,,,,
53,02_lists_formatting_003,02_lists_formatting,list_structure,list_marker_deletion,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/02_lists_formatting_003__list_marker_deletion__s3.pdf,,,,,,
54,03_math_inline_display_004,03_math_inline_display,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__lossless_roundtrip__s0.pdf,,,,,,
55,03_math_inline_display_004,03_math_inline_display,canvas_translation,translate_right,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__translate_right__s1.pdf,,,,,,
56,03_math_inline_display_004,03_math_inline_display,canvas_translation,translate_right,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__translate_right__s2.pdf,,,,,,
57,03_math_inline_display_004,03_math_inline_display,canvas_translation,translate_right,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__translate_right__s3.pdf,,,,,,
58,03_math_inline_display_004,03_math_inline_display,largest_block_displacement,block_down,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__block_down__s1.pdf,,,,,,
59,03_math_inline_display_004,03_math_inline_display,largest_block_displacement,block_down,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__block_down__s2.pdf,,,,,,
60,03_math_inline_display_004,03_math_inline_display,largest_block_displacement,block_down,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__block_down__s3.pdf,,,,,,
61,03_math_inline_display_004,03_math_inline_display,text_span_deletion,text_deletion,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__text_deletion__s1.pdf,,,,,,
62,03_math_inline_display_004,03_math_inline_display,text_span_deletion,text_deletion,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__text_deletion__s2.pdf,,,,,,
63,03_math_inline_display_004,03_math_inline_display,text_span_deletion,text_deletion,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__text_deletion__s3.pdf,,,,,,
64,03_math_inline_display_004,03_math_inline_display,edge_crop_local_occlusion,crop_bottom,1,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__crop_bottom__s1.pdf,,,,,,
65,03_math_inline_display_004,03_math_inline_display,edge_crop_local_occlusion,crop_bottom,2,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__crop_bottom__s2.pdf,,,,,,
66,03_math_inline_display_004,03_math_inline_display,edge_crop_local_occlusion,crop_bottom,3,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__crop_bottom__s3.pdf,,,,,,
67,03_math_inline_display_004,03_math_inline_display,fixed_compound_defects,compound_delete_translate,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__compound_delete_translate__s2.pdf,,,,,,
68,03_math_inline_display_004,03_math_inline_display,fixed_compound_defects,compound_lexical_block,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__compound_lexical_block__s2.pdf,,,,,,
69,03_math_inline_display_004,03_math_inline_display,fixed_compound_defects,compound_numeric_crop,2,content+appearance,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__compound_numeric_crop__s2.pdf,,,,,,
70,03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_delete,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__display_math_delete__s1.pdf,,,,,,
71,03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_delete,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__display_math_delete__s2.pdf,,,,,,
72,03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_delete,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__display_math_delete__s3.pdf,,,,,,
73,03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_corrupt,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__display_math_corrupt__s1.pdf,,,,,,
74,03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_corrupt,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__display_math_corrupt__s2.pdf,,,,,,
75,03_math_inline_display_004,03_math_inline_display,display_math_structure,display_math_corrupt,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/03_math_inline_display_004__display_math_corrupt__s3.pdf,,,,,,
76,04_math_aligned_003,04_math_aligned,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__lossless_roundtrip__s0.pdf,,,,,,
77,04_math_aligned_003,04_math_aligned,canvas_translation,translate_right,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__translate_right__s1.pdf,,,,,,
78,04_math_aligned_003,04_math_aligned,canvas_translation,translate_right,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__translate_right__s2.pdf,,,,,,
79,04_math_aligned_003,04_math_aligned,canvas_translation,translate_right,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__translate_right__s3.pdf,,,,,,
80,04_math_aligned_003,04_math_aligned,largest_block_displacement,block_down,1,layout,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__block_down__s1.pdf,,,,,,
81,04_math_aligned_003,04_math_aligned,largest_block_displacement,block_down,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__block_down__s2.pdf,,,,,,
82,04_math_aligned_003,04_math_aligned,largest_block_displacement,block_down,3,layout,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__block_down__s3.pdf,,,,,,
83,04_math_aligned_003,04_math_aligned,text_span_deletion,text_deletion,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__text_deletion__s1.pdf,,,,,,
84,04_math_aligned_003,04_math_aligned,text_span_deletion,text_deletion,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__text_deletion__s2.pdf,,,,,,
85,04_math_aligned_003,04_math_aligned,text_span_deletion,text_deletion,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__text_deletion__s3.pdf,,,,,,
86,04_math_aligned_003,04_math_aligned,edge_crop_local_occlusion,crop_bottom,1,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__crop_bottom__s1.pdf,,,,,,
87,04_math_aligned_003,04_math_aligned,edge_crop_local_occlusion,crop_bottom,2,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__crop_bottom__s2.pdf,,,,,,
88,04_math_aligned_003,04_math_aligned,edge_crop_local_occlusion,crop_bottom,3,appearance,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__crop_bottom__s3.pdf,,,,,,
89,04_math_aligned_003,04_math_aligned,fixed_compound_defects,compound_delete_translate,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__compound_delete_translate__s2.pdf,,,,,,
90,04_math_aligned_003,04_math_aligned,fixed_compound_defects,compound_lexical_block,2,layout,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__compound_lexical_block__s2.pdf,,,,,,
91,04_math_aligned_003,04_math_aligned,fixed_compound_defects,compound_numeric_crop,2,content+appearance,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__compound_numeric_crop__s2.pdf,,,,,,
92,04_math_aligned_003,04_math_aligned,display_math_structure,display_math_delete,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__display_math_delete__s1.pdf,,,,,,
93,04_math_aligned_003,04_math_aligned,display_math_structure,display_math_delete,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__display_math_delete__s2.pdf,,,,,,
94,04_math_aligned_003,04_math_aligned,display_math_structure,display_math_delete,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__display_math_delete__s3.pdf,,,,,,
95,04_math_aligned_003,04_math_aligned,display_math_structure,display_math_corrupt,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__display_math_corrupt__s1.pdf,,,,,,
96,04_math_aligned_003,04_math_aligned,display_math_structure,display_math_corrupt,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__display_math_corrupt__s2.pdf,,,,,,
97,04_math_aligned_003,04_math_aligned,display_math_structure,display_math_corrupt,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/04_math_aligned_003__display_math_corrupt__s3.pdf,,,,,,
98,05_tables_simple_005,05_tables_simple,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/05_tables_simple_005__lossless_roundtrip__s0.pdf,,,,,,
99,05_tables_simple_005,05_tables_simple,semantic_table_structure,table_text_corruption,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/05_tables_simple_005__table_text_corruption__s1.pdf,,,,,,
100,05_tables_simple_005,05_tables_simple,semantic_table_structure,table_text_corruption,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/05_tables_simple_005__table_text_corruption__s2.pdf,,,,,,
101,05_tables_simple_005,05_tables_simple,semantic_table_structure,table_text_corruption,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/05_tables_simple_005__table_text_corruption__s3.pdf,,,,,,
102,06_tables_moderate_008,06_tables_moderate,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__lossless_roundtrip__s0.pdf,,,,,,
103,06_tables_moderate_008,06_tables_moderate,inline_math_structure,inline_math_corrupt,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__inline_math_corrupt__s1.pdf,,,,,,
104,06_tables_moderate_008,06_tables_moderate,inline_math_structure,inline_math_corrupt,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__inline_math_corrupt__s2.pdf,,,,,,
105,06_tables_moderate_008,06_tables_moderate,inline_math_structure,inline_math_corrupt,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__inline_math_corrupt__s3.pdf,,,,,,
106,06_tables_moderate_008,06_tables_moderate,inline_math_structure,inline_math_resize,1,typography,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__inline_math_resize__s1.pdf,,,,,,
107,06_tables_moderate_008,06_tables_moderate,inline_math_structure,inline_math_resize,2,typography,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__inline_math_resize__s2.pdf,,,,,,
108,06_tables_moderate_008,06_tables_moderate,inline_math_structure,inline_math_resize,3,typography,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__inline_math_resize__s3.pdf,,,,,,
109,06_tables_moderate_008,06_tables_moderate,semantic_table_structure,table_text_corruption,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__table_text_corruption__s1.pdf,,,,,,
110,06_tables_moderate_008,06_tables_moderate,semantic_table_structure,table_text_corruption,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__table_text_corruption__s2.pdf,,,,,,
111,06_tables_moderate_008,06_tables_moderate,semantic_table_structure,table_text_corruption,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/06_tables_moderate_008__table_text_corruption__s3.pdf,,,,,,
112,07_figures_captions_003,07_figures_captions,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/07_figures_captions_003__lossless_roundtrip__s0.pdf,,,,,,
113,07_figures_captions_003,07_figures_captions,cross_reference_semantics,crossref_token_corruption,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/07_figures_captions_003__crossref_token_corruption__s1.pdf,,,,,,
114,07_figures_captions_003,07_figures_captions,cross_reference_semantics,crossref_token_corruption,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/07_figures_captions_003__crossref_token_corruption__s2.pdf,,,,,,
115,07_figures_captions_003,07_figures_captions,cross_reference_semantics,crossref_token_corruption,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/07_figures_captions_003__crossref_token_corruption__s3.pdf,,,,,,
116,07_figures_captions_003,07_figures_captions,cross_reference_semantics,citation_token_deletion,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/07_figures_captions_003__citation_token_deletion__s1.pdf,,,,,,
117,07_figures_captions_003,07_figures_captions,cross_reference_semantics,citation_token_deletion,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/07_figures_captions_003__citation_token_deletion__s2.pdf,,,,,,
118,07_figures_captions_003,07_figures_captions,cross_reference_semantics,citation_token_deletion,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/07_figures_captions_003__citation_token_deletion__s3.pdf,,,,,,
119,08_crossrefs_citations_001,08_crossrefs_citations,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/08_crossrefs_citations_001__lossless_roundtrip__s0.pdf,,,,,,
120,08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/08_crossrefs_citations_001__crossref_token_corruption__s1.pdf,,,,,,
121,08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/08_crossrefs_citations_001__crossref_token_corruption__s2.pdf,,,,,,
122,08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,crossref_token_corruption,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/08_crossrefs_citations_001__crossref_token_corruption__s3.pdf,,,,,,
123,08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,citation_token_deletion,1,content,results/metric_research_v1/pilot_11_locality_v3/audit/08_crossrefs_citations_001__citation_token_deletion__s1.pdf,,,,,,
124,08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,citation_token_deletion,2,content,results/metric_research_v1/pilot_11_locality_v3/audit/08_crossrefs_citations_001__citation_token_deletion__s2.pdf,,,,,,
125,08_crossrefs_citations_001,08_crossrefs_citations,cross_reference_semantics,citation_token_deletion,3,content,results/metric_research_v1/pilot_11_locality_v3/audit/08_crossrefs_citations_001__citation_token_deletion__s3.pdf,,,,,,
126,09_algorithms_001,09_algorithms,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/09_algorithms_001__lossless_roundtrip__s0.pdf,,,,,,
127,10_compact_papers_002,10_compact_papers,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/10_compact_papers_002__lossless_roundtrip__s0.pdf,,,,,,
128,11_forms_cv_letters_003,11_forms_cv_letters,identity_lossless_roundtrip,lossless_roundtrip,0,invariant,results/metric_research_v1/pilot_11_locality_v3/audit/11_forms_cv_letters_003__lossless_roundtrip__s0.pdf,,,,,,
