sample_id,category,preview_page,reference_pages,manual_render_check,visual_scope,manual_note
03_math_inline_display_001,03_math_inline_display,2,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_002,03_math_inline_display,3,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_003,03_math_inline_display,4,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_004,03_math_inline_display,5,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_005,03_math_inline_display,6,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_006,03_math_inline_display,7,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_007,03_math_inline_display,8,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_008,03_math_inline_display,9,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_009,03_math_inline_display,10,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_010,03_math_inline_display,11,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_011,03_math_inline_display,12,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_012,03_math_inline_display,13,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_013,03_math_inline_display,14,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_014,03_math_inline_display,15,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_015,03_math_inline_display,16,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_016,03_math_inline_display,17,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_017,03_math_inline_display,18,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
03_math_inline_display_018,03_math_inline_display,19,1,pass,full_reference_panel,Clean one-page five-expression scaffold; useful formula variety but repeated page structure.
04_math_aligned_001,04_math_aligned,20,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_002,04_math_aligned,21,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_003,04_math_aligned,22,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_004,04_math_aligned,23,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_005,04_math_aligned,24,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_006,04_math_aligned,25,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_007,04_math_aligned,26,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_008,04_math_aligned,27,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_009,04_math_aligned,28,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_010,04_math_aligned,29,1,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_011,04_math_aligned,30,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_012,04_math_aligned,31,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_013,04_math_aligned,32,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_014,04_math_aligned,33,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
04_math_aligned_015,04_math_aligned,34,2,pass,full_reference_panel,Aligned formulas are visible; several references flow to a second page and exercise pagination.
05_tables_simple_001,05_tables_simple,35,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_002,05_tables_simple,36,2,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_005,05_tables_simple,37,2,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_006,05_tables_simple,38,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_007,05_tables_simple,39,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_011,05_tables_simple,40,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_012,05_tables_simple,41,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_014,05_tables_simple,42,2,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_015,05_tables_simple,43,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_017,05_tables_simple,44,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_018,05_tables_simple,45,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_020,05_tables_simple,46,3,pass,full_reference_panel,Content outlier: the table material includes large stacked natural-language response labels; retain for robustness but report it separately in sensitivity checks.
05_tables_simple_021,05_tables_simple,47,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_023,05_tables_simple,48,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_024,05_tables_simple,49,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_025,05_tables_simple,50,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_027,05_tables_simple,51,3,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
05_tables_simple_028,05_tables_simple,52,2,pass,full_reference_panel,Wide variation in table density and page count; some references reserve an introductory page.
06_tables_moderate_002,06_tables_moderate,53,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_007,06_tables_moderate,54,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_008,06_tables_moderate,55,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_010,06_tables_moderate,56,2,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_012,06_tables_moderate,57,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_013,06_tables_moderate,58,2,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_014,06_tables_moderate,59,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_015,06_tables_moderate,60,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_017,06_tables_moderate,61,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_018,06_tables_moderate,62,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_019,06_tables_moderate,63,2,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_029,06_tables_moderate,64,2,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_030,06_tables_moderate,65,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_031,06_tables_moderate,66,2,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_032,06_tables_moderate,67,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_033,06_tables_moderate,68,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_034,06_tables_moderate,69,3,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
06_tables_moderate_035,06_tables_moderate,70,2,pass,full_reference_panel,"Dense, wide, or grouped tables across one to three pages; several begin with a sparse scaffold page."
09_algorithms_001,09_algorithms,71,2,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_003,09_algorithms,72,2,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_004,09_algorithms,73,2,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_005,09_algorithms,74,1,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_008,09_algorithms,75,1,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_009,09_algorithms,76,1,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_011,09_algorithms,77,1,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_013,09_algorithms,78,2,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_016,09_algorithms,79,1,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_017,09_algorithms,80,1,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_018,09_algorithms,81,1,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
09_algorithms_021,09_algorithms,82,1,pass,full_reference_panel,"Pseudocode rules, indentation, line numbers, and comments are visible across one or two pages."
10_compact_papers_001,10_compact_papers,83,1,pass,full_reference_panel,"Dense one- or two-page article layouts provide compact prose, equations, references, and page flow."
10_compact_papers_002,10_compact_papers,84,2,pass,full_reference_panel,"Dense one- or two-page article layouts provide compact prose, equations, references, and page flow."
08_crossrefs_citations_001,08_crossrefs_citations,85,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
10_compact_papers_004,10_compact_papers,86,1,pass,full_reference_panel,"Dense one- or two-page article layouts provide compact prose, equations, references, and page flow."
10_compact_papers_005,10_compact_papers,87,2,pass,full_reference_panel,"Dense one- or two-page article layouts provide compact prose, equations, references, and page flow."
10_compact_papers_006,10_compact_papers,88,2,pass,full_reference_panel,"Dense one- or two-page article layouts provide compact prose, equations, references, and page flow."
10_compact_papers_011,10_compact_papers,89,1,pass,full_reference_panel,"Dense one- or two-page article layouts provide compact prose, equations, references, and page flow."
10_compact_papers_012,10_compact_papers,90,1,pass,full_reference_panel,"Dense one- or two-page article layouts provide compact prose, equations, references, and page flow."
10_compact_papers_015,10_compact_papers,91,2,pass,full_reference_panel,"Dense one- or two-page article layouts provide compact prose, equations, references, and page flow."
01_prose_sections_001,01_prose_sections,92,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_002,08_crossrefs_citations,93,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
08_crossrefs_citations_003,08_crossrefs_citations,94,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
07_figures_captions_001,07_figures_captions,95,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
01_prose_sections_002,01_prose_sections,96,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_004,08_crossrefs_citations,97,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
01_prose_sections_003,01_prose_sections,98,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
01_prose_sections_004,01_prose_sections,99,2,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_005,08_crossrefs_citations,100,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
01_prose_sections_006,01_prose_sections,101,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
01_prose_sections_007,01_prose_sections,102,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
01_prose_sections_008,01_prose_sections,103,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_006,08_crossrefs_citations,104,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
01_prose_sections_009,01_prose_sections,105,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_007,08_crossrefs_citations,106,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
01_prose_sections_010,01_prose_sections,107,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
01_prose_sections_011,01_prose_sections,108,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_008,08_crossrefs_citations,109,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
01_prose_sections_012,01_prose_sections,110,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_009,08_crossrefs_citations,111,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
01_prose_sections_013,01_prose_sections,112,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_010,08_crossrefs_citations,113,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
02_lists_formatting_002,02_lists_formatting,114,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
08_crossrefs_citations_011,08_crossrefs_citations,115,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
01_prose_sections_014,01_prose_sections,116,1,pass,full_reference_panel,Clean scholarly prose scaffold; substantial template reuse limits independent visual variety.
08_crossrefs_citations_012,08_crossrefs_citations,117,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
08_crossrefs_citations_013,08_crossrefs_citations,118,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
08_crossrefs_citations_014,08_crossrefs_citations,119,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
08_crossrefs_citations_015,08_crossrefs_citations,120,1,pass,full_reference_panel,Clean equation/reference scaffold with heavy structural reuse; useful for exact labels and citations.
02_lists_formatting_003,02_lists_formatting,121,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_006,02_lists_formatting,122,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_008,02_lists_formatting,123,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
07_figures_captions_002,07_figures_captions,124,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_003,07_figures_captions,125,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
02_lists_formatting_011,02_lists_formatting,126,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_012,02_lists_formatting,127,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_013,02_lists_formatting,128,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_014,02_lists_formatting,129,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_015,02_lists_formatting,130,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_018,02_lists_formatting,131,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
07_figures_captions_004,07_figures_captions,132,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
02_lists_formatting_020,02_lists_formatting,133,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_021,02_lists_formatting,134,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
07_figures_captions_005,07_figures_captions,135,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_006,07_figures_captions,136,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
02_lists_formatting_024,02_lists_formatting,137,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
07_figures_captions_007,07_figures_captions,138,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
02_lists_formatting_025,02_lists_formatting,139,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
02_lists_formatting_026,02_lists_formatting,140,1,pass,full_reference_panel,"List structure is visible, but item density varies from a few short items to long extracted prose."
07_figures_captions_008,07_figures_captions,141,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_009,07_figures_captions,142,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_010,07_figures_captions,143,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_011,07_figures_captions,144,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_012,07_figures_captions,145,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_013,07_figures_captions,146,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_014,07_figures_captions,147,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
07_figures_captions_015,07_figures_captions,148,1,pass,presence_geometry_caption_only,"Scope limit: panels contain blank placeholder rectangles and captions, not image-semantic content."
11_forms_cv_letters_001,11_forms_cv_letters,149,3,pass,full_reference_panel,Three-page CV/form template with table-like fields and signatures.
11_forms_cv_letters_002,11_forms_cv_letters,150,2,pass,full_reference_panel,Two-page CV/form template; distinct from the repeated letter subgroup.
11_forms_cv_letters_003,11_forms_cv_letters,151,1,pass,full_reference_panel,CV/form examples are structurally rich; letter examples are close template variants.
11_forms_cv_letters_004,11_forms_cv_letters,152,1,pass,full_reference_panel,CV/form examples are structurally rich; letter examples are close template variants.
11_forms_cv_letters_005,11_forms_cv_letters,153,1,pass,full_reference_panel,CV/form examples are structurally rich; letter examples are close template variants.
11_forms_cv_letters_006,11_forms_cv_letters,154,1,pass,full_reference_panel,CV/form examples are structurally rich; letter examples are close template variants.
11_forms_cv_letters_007,11_forms_cv_letters,155,1,pass,full_reference_panel,CV/form examples are structurally rich; letter examples are close template variants.
11_forms_cv_letters_008,11_forms_cv_letters,156,1,pass,full_reference_panel,CV/form examples are structurally rich; letter examples are close template variants.
11_forms_cv_letters_009,11_forms_cv_letters,157,1,pass,full_reference_panel,CV/form examples are structurally rich; letter examples are close template variants.
11_forms_cv_letters_010,11_forms_cv_letters,158,1,pass,full_reference_panel,CV/form examples are structurally rich; letter examples are close template variants.
